id,host_id,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,city,state,zipcode,market,smart_location,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,review_scores_rating,requires_license,instant_bookable,cancellation_policy,calculated_host_listings_count,reviews_per_month
12147973,31303940,15/04/2015,"Boston, Massachusetts, United States",N/A,N/A,N/A,f,1,1,"['email', 'phone', 'facebook', 'reviews']",t,f,Roslindale,Boston,MA,2131,Boston,"Boston, MA",42.2826188,-71.13306793,t,House,Entire home/apt,4,1.5,2,3,Real Bed,$250.00,,,,$35.00,1,$0.00,2,1125,2 weeks ago,,0,0,0,0,06/09/2016,0,,f,f,moderate,1,
3075044,2572247,07/06/2012,"Boston, Massachusetts, United States",within an hour,100%,100%,f,1,1,"['email', 'phone', 'facebook', 'linkedin', 'amex', 'reviews', 'jumio']",t,t,Roslindale,Boston,MA,2131,Boston,"Boston, MA",42.28624082,-71.13437396,t,Apartment,Private room,2,1,1,1,Real Bed,$65.00,$400.00,,$95.00,$10.00,0,$0.00,2,15,a week ago,,26,54,84,359,06/09/2016,36,94,f,t,moderate,1,1.3
6976,16701,11/05/2009,"Boston, Massachusetts, United States",within a few hours,100%,88%,t,1,1,"['email', 'phone', 'reviews', 'jumio']",t,t,Roslindale,Boston,MA,2131,Boston,"Boston, MA",42.29243789,-71.13576525,t,Apartment,Private room,2,1,1,1,Real Bed,$65.00,$395.00,"$1,350.00",,,1,$20.00,3,45,5 days ago,,19,46,61,319,06/09/2016,41,98,f,f,moderate,1,0.47
1436513,6031442,21/04/2013,"Boston, Massachusetts, United States",within a few hours,100%,50%,f,1,1,"['email', 'phone', 'reviews']",t,f,Roslindale,Boston,MA,,Boston,"Boston, MA",42.28110619,-71.12102117,f,House,Private room,4,1,1,2,Real Bed,$75.00,,,$100.00,$50.00,2,$25.00,1,1125,a week ago,,6,16,26,98,06/09/2016,1,100,f,f,moderate,1,1
7651065,15396970,11/05/2014,"Boston, Massachusetts, United States",within an hour,100%,100%,t,1,1,"['email', 'phone', 'reviews', 'kba']",t,t,Roslindale,Boston,MA,2131,Boston,"Boston, MA",42.28451221,-71.13625805,t,House,Private room,2,1.5,1,2,Real Bed,$79.00,,,,$15.00,1,$0.00,2,31,2 weeks ago,,13,34,59,334,06/09/2016,29,99,f,f,flexible,1,2.25
12386020,64200298,23/03/2016,"Boston, Massachusetts, United States",within a few hours,100%,95%,t,2,2,"['email', 'phone', 'reviews', 'kba']",t,t,Roslindale,Boston,MA,2131,Boston,"Boston, MA",42.2916898,-71.13189277,t,Condominium,Private room,2,1,1,1,Real Bed,$75.00,,,,$30.00,1,$0.00,2,1125,2 weeks ago,,5,28,58,58,06/09/2016,8,100,f,f,flexible,1,1.7
5706985,6570877,25/05/2013,"Milton, Massachusetts, United States",within an hour,98%,96%,f,5,5,"['email', 'phone', 'reviews', 'jumio', 'kba']",t,t,Roslindale,Boston,MA,2131,Boston,"Boston, MA",42.28138963,-71.13119042,f,Apartment,Entire home/apt,3,1,1,2,Real Bed,$100.00,,,,,1,$25.00,1,1125,3 days ago,,22,39,69,344,06/09/2016,57,90,f,f,strict,3,4
2843445,3164508,05/08/2012,"Boston, Massachusetts, United States",within a few hours,100%,100%,t,2,2,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t,Roslindale,Boston,MA,2131,Boston,"Boston, MA",42.2819461,-71.14102161,t,House,Private room,2,2,1,1,Real Bed,$75.00,,,,$10.00,1,$15.00,1,1125,yesterday,,30,60,90,365,06/09/2016,67,96,f,f,moderate,2,2.38
753446,3962517,24/10/2012,"Boston, Massachusetts, United States",within an hour,100%,100%,t,1,1,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t,Roslindale,Roslindale,MA,2131,Boston,"Roslindale, MA",42.28587764,-71.12490956,t,Condominium,Private room,2,1,1,2,Real Bed,$58.00,,,,,2,$0.00,2,1125,today,,12,42,72,347,06/09/2016,65,96,f,f,moderate,1,5.36
849408,4434391,18/12/2012,"Boston, Massachusetts, United States",within an hour,100%,100%,t,2,2,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t,Roslindale,Boston,MA,2131,Boston,"Boston, MA",42.28882028,-71.1395101,t,Apartment,Entire home/apt,5,1,2,2,Real Bed,$229.00,,,$200.00,$50.00,4,$25.00,4,10,today,,20,50,80,107,06/09/2016,33,94,f,f,strict,2,1.01
